Schedule,Threads,MedianTime,Speedup
static,1,4.72009,1.0
static,2,2.31982,2.034679414782181
static,4,1.84669,2.5559731194732196
static,8,1.39306,3.3882890902042986
static,16,1.39328,3.38775407671107
dynamic,1,1,4.84265,0.9746915428536029
dynamic,1,2,2.49846,1.889199747044179
dynamic,1,4,1.27092,3.7139159034400273
dynamic,1,8,0.702414,6.719811962745617
dynamic,1,16,0.628528,7.509752946567217
dynamic,10,1,4.52707,1.042636848999463
dynamic,10,2,2.32677,2.0286018815783255
dynamic,10,4,1.19254,3.9580139869522197
dynamic,10,8,0.608974,7.75088920052416
dynamic,10,16,0.587916,8.028510875703331
guided,1,4.8231,0.9786423669424229
guided,2,2.34909,2.0093270159934273
guided,4,2.08823,2.260330519147795
guided,8,1.01682,4.642011368777168
guided,16,0.830205,5.6854511837437745
guided,10,1,4.74949,0.9938098616904131
guided,10,2,2.31987,2.0346355614754277
guided,10,4,2.11338,2.233431753872943
guided,10,8,1.03779,4.548213029611
guided,10,16,0.935976,5.042960503260767
