Schedule,Threads,MedianTime,Speedup
static,1,6.22703,1.0
static,2,3.19765,1.9473769799696654
static,4,2.49094,2.4998715344408136
static,8,1.71406,3.632912500145853
static,16,1.41266,4.408017498902779
dynamic,1,1,6.31543,0.9860025366443773
dynamic,1,2,3.28975,1.8928581199179269
dynamic,1,4,1.70138,3.6599877746300065
dynamic,1,8,0.687321,9.059857039141828
dynamic,1,16,0.689688,9.028763730846412
dynamic,10,1,6.24222,0.9975665708674158
dynamic,10,2,3.14411,1.9805382127215652
dynamic,10,4,1.56644,3.975275146191364
dynamic,10,8,0.632168,9.850277141519344
dynamic,10,16,0.632463,9.84568267234605
guided,1,6.23018,0.999494396630595
guided,2,3.1381,1.9843312832605717
guided,4,2.79066,2.2313825403309613
guided,8,1.18996,5.232974217620761
guided,16,0.855549,7.278402522824526
guided,10,1,6.22758,0.9999116831899391
guided,10,2,3.12373,1.9934597420391647
guided,10,4,2.78044,2.239584382327977
guided,10,8,1.06498,5.847086330259723
guided,10,16,0.813809,7.6517094305912075
